Category,URL,brand,name,price,skin_type,skin_concern,rating
cleanser-and-exfoliator,https://www.sephora.my/products/origins-go-go-ginzing-skincare-trio-to-cleanse-hydrate-and-brighten-limited-edition,ORIGINS,"Go Go Ginzing™ Skincare Trio To Cleanse, Hydrate & Brighten (Limited Edition)",RM130.00,"Skin Type: Combination, Dry, Normal, Oily","Dark Circles, Dryness, Dullness, Puffiness",0
cleanser-and-exfoliator,https://www.sephora.my/products/gallinee-face-mask-and-scrub/v/30ml,GALLINÉE,Face Mask & Scrub,RM45.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Dullness, Uneven Skin Tone",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/the-inkey-list-oat-cleansing-balm,THE INKEY LIST,Oat Cleansing Balm • 150ml,RM46.00,"Skin Type: Combination, Dry, Normal, Oily",Balm,4
cleanser-and-exfoliator,https://www.sephora.my/products/fresh-soy-face-cleanser/v/150ml,FRESH,Soy Face Cleanser,RM177.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Ageing, Dullness, Firmness & Elasticity",4.5
cleanser-and-exfoliator,https://www.sephora.my/products/origins-best-of-the-season-skincare-set-to-cleanse-prep-and-hydrate-limited-edition,ORIGINS,"Best Of The Season Skincare Set To Cleanse, Prep & Hydrate (Limited Edition)",RM65.00,"Skin Type: Combination, Dry, Normal, Oily","Dryness, Dullness, Oiliness",3.5
cleanser-and-exfoliator,https://www.sephora.my/products/mario-badescu-strawberry-face-scrub,MARIO BADESCU,Strawberry Face Scrub,RM70.00,"Skin Type: Combination, Dry, Normal, Oily","Dullness, Firmness & Elasticity, Oiliness",3.5
cleanser-and-exfoliator,https://www.sephora.my/products/kopari-coconut-crush-scrub/v/300ml,KOPARI,Coconut Crush Scrub,RM187.00,"Skin Type: Combination, Dry, Normal, Oily","Dryness, Dullness, Uneven Skin Texture, Uneven Skin Tone",4
cleanser-and-exfoliator,https://www.sephora.my/products/sephora-collection-exfoliating-face-disc,SEPHORA COLLECTION,Exfoliating Face Disc,RM25.00,"Skin Type: Combination, Dry, Normal, Oily",,4.5
cleanser-and-exfoliator,https://www.sephora.my/products/laneige-moist-cream-cleanser/v/150ml,LANEIGE,Moist Cream Cleanser,RM100.00,"Skin Type: Combination, Dry, Normal, Oily",Dryness,4.5
cleanser-and-exfoliator,https://www.sephora.my/products/burts-bees-soap-bark-and-chamomile-deep-cleansing-cream,BURT'S BEES,Soap Bark & Chamomile Deep Cleansing Cream • 170g,RM91.00,"Skin Type: Combination, Dry, Normal, Oily, Sensitive","Dryness, Dullness, Oiliness",4
cleanser-and-exfoliator,https://www.sephora.my/products/tarte-micellar-magic-makeup-remover-and-cleanser,"SEPHORA EXCLUSIVE
TARTE",Micellar Magic Makeup Remover & Cleanser • 45ml,RM45.00,"Skin Type: Combination, Dry, Normal, Oily",Dryness,3.5
